timestamp,temperature,ph,turbidity,tds
2026-09-07T17:39:02.430Z,-68.75,5.47,1092,-318.9
2026-09-07T17:39:17.478Z,-68.75,5.47,1092.8,-321.3
2026-09-07T17:42:05.598Z,-68.75,5.5,1090.8,-319.5
2026-09-07T17:42:53.182Z,-68.75,5.49,1091,-318.4
2026-09-07T17:43:07.838Z,-68.75,5.47,1092,-320.1
2026-09-07T17:43:22.878Z,-68.75,5.48,1093,-318.3
2026-09-07T17:45:31.646Z,-68.75,5.48,1090.6,-319.1
2026-09-07T17:45:48.358Z,-68.75,5.48,1091.4,-318.7
2026-09-07T17:46:03.086Z,-68.75,5.5,1091.9,-320
2026-09-07T17:46:17.782Z,-68.75,5.48,1093.1,-317.4
2026-09-07T17:46:43.206Z,-68.75,5.5,1090.8,-320.2
2026-09-07T17:46:58.206Z,-68.75,5.5,1094.2,-314.8
2026-09-07T17:47:13.278Z,-68.75,5.47,1094.8,-316.8
2026-09-07T17:47:27.902Z,-68.75,5.47,1095,-315.1
2026-09-07T17:47:42.622Z,-68.75,5.5,1091.8,-317.7
2026-09-07T17:48:08.158Z,-68.75,5.5,1093.5,-317.2
2026-09-07T17:48:23.238Z,-68.75,5.49,1094.2,-316
2026-09-07T17:48:59.518Z,-68.75,5.49,1093.4,-314.6
2026-09-07T17:49:14.174Z,-68.75,5.48,1093.8,-314.8
2026-09-07T17:49:29.182Z,-68.75,5.5,1094.8,-309.2
2026-09-07T17:49:43.742Z,-68.75,5.51,1091.8,-314.7
2026-09-07T17:51:19.358Z,-68.75,5.48,1093.8,-314.6
2026-09-07T17:51:35.390Z,-68.75,5.49,1092.4,-315
2026-09-07T17:51:49.918Z,-68.75,5.49,1092.4,-313.1
2026-09-07T17:52:05.054Z,-68.75,5.48,1094.5,-313.8
2026-09-07T17:52:19.678Z,-68.75,5.48,1091.8,-316.3
2026-09-07T17:52:34.366Z,-68.75,5.48,1094.8,-316
2026-09-07T17:52:49.462Z,-68.75,5.5,1092,-314.1
2026-09-07T17:53:04.094Z,-68.75,5.48,1094.3,-315.1
